  0%|                                                                                                                                                                                     | 0/6468 [00:00<?, ?it/s]Casting fp32 inputs back to torch.bfloat16 for flash-attn compatibility.
                                                                                                                                                                                                                   
{'loss': 2.0663, 'grad_norm': 14.625919342041016, 'learning_rate': 4.856988249845393e-05, 'epoch': 0.03}
{'loss': 1.5616, 'grad_norm': 11.599039077758789, 'learning_rate': 4.856215213358071e-05, 'epoch': 0.03}
{'loss': 2.0299, 'grad_norm': 9.96599006652832, 'learning_rate': 4.855442176870749e-05, 'epoch': 0.03}
{'loss': 1.7591, 'grad_norm': 10.332104682922363, 'learning_rate': 4.854669140383426e-05, 'epoch': 0.03}
{'loss': 2.0468, 'grad_norm': 11.104074478149414, 'learning_rate': 4.853896103896104e-05, 'epoch': 0.03}
{'loss': 2.0046, 'grad_norm': 11.02560806274414, 'learning_rate': 4.8531230674087816e-05, 'epoch': 0.03}
{'loss': 1.924, 'grad_norm': 11.880967140197754, 'learning_rate': 4.85235003092146e-05, 'epoch': 0.03}
{'loss': 1.2509, 'grad_norm': 76.25059509277344, 'learning_rate': 4.8515769944341375e-05, 'epoch': 0.03}
{'loss': 2.4633, 'grad_norm': 12.225265502929688, 'learning_rate': 4.850803957946815e-05, 'epoch': 0.03}
{'loss': 1.6349, 'grad_norm': 14.039706230163574, 'learning_rate': 4.850030921459493e-05, 'epoch': 0.03}
{'loss': 1.0965, 'grad_norm': 12.540095329284668, 'learning_rate': 4.849257884972171e-05, 'epoch': 0.03}
{'loss': 1.6253, 'grad_norm': 14.087900161743164, 'learning_rate': 4.848484848484849e-05, 'epoch': 0.03}
{'loss': 2.0895, 'grad_norm': 12.514791488647461, 'learning_rate': 4.847711811997527e-05, 'epoch': 0.03}
{'loss': 1.7086, 'grad_norm': 10.75696849822998, 'learning_rate': 4.846938775510204e-05, 'epoch': 0.03}
{'loss': 2.1029, 'grad_norm': 7.538082599639893, 'learning_rate': 4.8461657390228824e-05, 'epoch': 0.03}
{'loss': 1.8362, 'grad_norm': 8.704822540283203, 'learning_rate': 4.84539270253556e-05, 'epoch': 0.03}
{'loss': 1.7017, 'grad_norm': 10.323447227478027, 'learning_rate': 4.8446196660482377e-05, 'epoch': 0.03}
{'loss': 0.7706, 'grad_norm': 13.049359321594238, 'learning_rate': 4.843846629560915e-05, 'epoch': 0.03}
{'loss': 1.1505, 'grad_norm': 10.158312797546387, 'learning_rate': 4.843073593073593e-05, 'epoch': 0.03}
{'loss': 1.9772, 'grad_norm': 9.711538314819336, 'learning_rate': 4.842300556586271e-05, 'epoch': 0.03}
{'loss': 1.7667, 'grad_norm': 12.162031173706055, 'learning_rate': 4.841527520098949e-05, 'epoch': 0.03}
{'loss': 1.8637, 'grad_norm': 10.375417709350586, 'learning_rate': 4.840754483611627e-05, 'epoch': 0.03}
{'loss': 2.1907, 'grad_norm': 12.108224868774414, 'learning_rate': 4.839981447124304e-05, 'epoch': 0.03}
{'loss': 1.9898, 'grad_norm': 11.06873607635498, 'learning_rate': 4.8392084106369825e-05, 'epoch': 0.03}
{'loss': 1.6664, 'grad_norm': 9.306355476379395, 'learning_rate': 4.83843537414966e-05, 'epoch': 0.03}
{'loss': 1.4392, 'grad_norm': 10.341877937316895, 'learning_rate': 4.8376623376623384e-05, 'epoch': 0.03}
{'loss': 1.6861, 'grad_norm': 12.967826843261719, 'learning_rate': 4.8368893011750154e-05, 'epoch': 0.03}
{'loss': 1.3932, 'grad_norm': 12.431808471679688, 'learning_rate': 4.836116264687694e-05, 'epoch': 0.03}
{'loss': 2.034, 'grad_norm': 13.652722358703613, 'learning_rate': 4.8353432282003714e-05, 'epoch': 0.03}
{'loss': 1.8808, 'grad_norm': 10.201404571533203, 'learning_rate': 4.834570191713049e-05, 'epoch': 0.03}
{'loss': 1.6893, 'grad_norm': 14.422715187072754, 'learning_rate': 4.8337971552257266e-05, 'epoch': 0.03}
{'loss': 1.4485, 'grad_norm': 19.043912887573242, 'learning_rate': 4.833024118738404e-05, 'epoch': 0.03}
{'loss': 1.0696, 'grad_norm': 10.191036224365234, 'learning_rate': 4.8322510822510826e-05, 'epoch': 0.03}
{'loss': 2.2321, 'grad_norm': 8.736737251281738, 'learning_rate': 4.83147804576376e-05, 'epoch': 0.03}
{'loss': 1.0679, 'grad_norm': 12.044645309448242, 'learning_rate': 4.8307050092764386e-05, 'epoch': 0.03}
{'loss': 1.6471, 'grad_norm': 12.192148208618164, 'learning_rate': 4.8299319727891155e-05, 'epoch': 0.03}
{'loss': 2.1957, 'grad_norm': 12.855472564697266, 'learning_rate': 4.829158936301794e-05, 'epoch': 0.03}
{'loss': 1.2661, 'grad_norm': 13.311617851257324, 'learning_rate': 4.8283858998144715e-05, 'epoch': 0.03}
{'loss': 1.9886, 'grad_norm': 9.707695007324219, 'learning_rate': 4.82761286332715e-05, 'epoch': 0.03}
